Time,Temperature_Fahrenheit,Relative_Humidity
2021-05-18 16:19:00,75.02,55.2
2021-05-18 16:49:00,74.84,54.8
2021-05-18 17:19:00,74.3,54.7
2021-05-18 17:49:00,73.76,54.7
2021-05-18 18:19:00,73.22,54.8
2021-05-18 18:49:00,72.86,54.9
2021-05-18 19:19:00,72.32,54.9
2021-05-18 19:49:00,71.96,55
2021-05-18 20:19:00,71.42,55.1
2021-05-18 20:49:00,71.06,55.2
2021-05-18 21:19:00,70.7,55.3
2021-05-18 21:49:00,70.34,55.8
2021-05-18 22:19:00,70.16,56.2
2021-05-18 22:49:00,69.98,56.5
2021-05-18 23:19:00,69.8,56.9
2021-05-18 23:49:00,69.62,57.4
2021-05-19 00:19:00,69.62,57.7
2021-05-19 00:49:00,69.44,58
2021-05-19 01:19:00,69.26,58.3
2021-05-19 01:49:00,69.26,58.5
2021-05-19 02:19:00,69.08,58.7
2021-05-19 02:49:00,69.08,58.9
2021-05-19 03:19:00,69.08,59
2021-05-19 03:49:00,68.9,59.1
2021-05-19 04:19:00,69.08,59.2
2021-05-19 04:49:00,69.08,59.4
2021-05-19 05:19:00,69.08,59.6
2021-05-19 05:49:00,69.26,59.7
2021-05-19 06:19:00,69.26,59.9
2021-05-19 06:49:00,69.44,60.4
2021-05-19 07:19:00,69.98,60.7
2021-05-19 07:49:00,70.7,60.8
2021-05-19 08:19:00,71.6,60.7
2021-05-19 08:49:00,72.32,60.3
2021-05-19 09:19:00,72.68,59.7
2021-05-19 09:49:00,73.22,58.9
2021-05-19 10:19:00,73.22,59.2
2021-05-19 10:49:00,73.76,58.5
2021-05-19 11:19:00,74.3,56.9
2021-05-19 11:49:00,74.3,56
2021-05-19 12:19:00,74.66,55.4
2021-05-19 12:49:00,75.02,54.5
2021-05-19 13:19:00,74.66,54.3
2021-05-19 13:49:00,74.48,54.3
2021-05-19 14:19:00,74.66,53.9
2021-05-19 14:49:00,75.38,53.2
2021-05-19 15:19:00,75.92,52.5
2021-05-19 15:49:00,75.92,52.2
2021-05-19 16:19:00,75.56,52.4
2021-05-19 16:49:00,75.2,52.5
2021-05-19 17:19:00,75.02,52.6
2021-05-19 17:49:00,74.84,52.8
2021-05-19 18:19:00,74.3,53
2021-05-19 18:49:00,73.76,53.3
2021-05-19 19:19:00,73.22,53.7
2021-05-19 19:49:00,72.5,54.1
2021-05-19 20:19:00,71.96,54.4
2021-05-19 20:49:00,71.42,54.6
2021-05-19 21:19:00,70.88,54.7
2021-05-19 21:49:00,70.7,54.8
